relative_time,BarometerSensor
42717,1019.9847412109375
42797,1019.9725952148438
42836,1019.9747314453125
42917,1019.9326782226562
43001,1019.918212890625
43037,1019.9183959960938
43117,1019.8865356445312
43199,1019.8466186523438
43237,1019.8707885742188
43317,1019.824462890625
43397,1019.8289794921875
43436,1019.808349609375
43518,1019.778564453125
43600,1019.7514038085938
43637,1019.765625
43720,1019.7454223632812
43797,1019.7008056640625
43837,1019.6906127929688
43917,1019.662353515625
43998,1019.6580810546875
44036,1019.6134643554688
44118,1019.5867309570312
44197,1019.5569458007812
44237,1019.5374145507812
44320,1019.5072021484375
44397,1019.48681640625
44436,1019.4617309570312
44516,1019.4619750976562
44597,1019.4088134765625
44637,1019.4124755859375
44718,1019.370361328125
44797,1019.3690795898438
44837,1019.36865234375
44916,1019.3485107421875
44997,1019.3202514648438
45037,1019.2926025390625
45117,1019.2849731445312
45197,1019.2330932617188
45238,1019.2299194335938
45317,1019.2042236328125
45397,1019.1910400390625
45436,1019.1530151367188
45517,1019.145751953125
45597,1019.1404418945312
45637,1019.1200561523438
45716,1019.1198120117188
45797,1019.0794677734375
45837,1019.0562744140625
45917,1019.0516357421875
45997,1019.0025634765625
46037,1018.9925537109375
46117,1018.9923095703125
46198,1018.953857421875
46236,1018.9387817382812
46317,1018.9185791015625
46397,1018.9011840820312
46436,1018.853759765625
46517,1018.839111328125
46598,1018.83447265625
46637,1018.786865234375
46718,1018.802978515625
46798,1018.7709350585938
46836,1018.7435302734375
46918,1018.7307739257812
46997,1018.7222290039062
47036,1018.7012329101562
47116,1018.6788940429688
47198,1018.65380859375
47236,1018.61962890625
47317,1018.599853515625
47397,1018.6021728515625
47436,1018.5416259765625
47517,1018.5216674804688
47597,1018.5460815429688
47636,1018.4987182617188
47719,1018.4993286132812
47798,1018.4561767578125
47837,1018.4536743164062
47917,1018.4115600585938
48000,1018.3826904296875
48037,1018.3796997070312
48118,1018.3743896484375
48202,1018.3733520507812
48237,1018.3541870117188
48318,1018.329345703125
48401,1018.2821655273438
48437,1018.2791748046875
48521,1018.2579345703125
48596,1018.2417602539062
48637,1018.2139282226562
48717,1018.2044067382812
48797,1018.171875
48837,1018.1574096679688
48916,1018.1295776367188
48997,1018.1289672851562
49038,1018.1077270507812
49119,1018.0936889648438
49197,1018.0828247070312
49236,1018.0528564453125
49318,1018.0105590820312
49398,1018.0120849609375
49437,1017.9625854492188
49517,1017.9617309570312
49597,1017.95556640625
49636,1017.935546875
49717,1017.896240234375
49797,1017.9122314453125
49837,1017.8601684570312
49917,1017.8414306640625
49998,1017.7972412109375
50038,1017.7723999023438
50117,1017.7891845703125
50196,1017.7900390625
50236,1017.757080078125
50316,1017.7277221679688
50396,1017.6986083984375
50436,1017.6854858398438
50516,1017.6837768554688
50596,1017.6682739257812
50637,1017.6334228515625
50716,1017.6482543945312
50797,1017.609619140625
50836,1017.57177734375
50916,1017.579833984375
50996,1017.5541381835938
51036,1017.5039672851562
51117,1017.5203247070312
51197,1017.51123046875
51237,1017.5135498046875
51317,1017.4708251953125
51397,1017.4527587890625
51437,1017.4589233398438
51516,1017.4238891601562
51598,1017.4534301757812
51636,1017.406005859375
51716,1017.396240234375
51797,1017.3862915039062
51836,1017.3658447265625
51917,1017.358642578125
51998,1017.3626708984375
52038,1017.3624877929688
52117,1017.3444213867188
52199,1017.334228515625
52236,1017.3475952148438
52316,1017.3088989257812
52397,1017.3080444335938
52436,1017.3065795898438
52518,1017.2886962890625
52598,1017.284912109375
52636,1017.2740478515625
52717,1017.281494140625
52799,1017.2657470703125
52836,1017.2655639648438
52916,1017.2666015625
53000,1017.2796020507812
53037,1017.252197265625
53118,1017.2645263671875
53199,1017.2645263671875
53237,1017.2542724609375
53319,1017.2579345703125
53397,1017.2655639648438
53436,1017.2593994140625
53518,1017.2564086914062
53597,1017.2632446289062
53636,1017.2517700195312
53717,1017.2481689453125
53797,1017.2808837890625
53837,1017.2761840820312
53916,1017.258544921875
53997,1017.2555541992188
54036,1017.2836303710938
54116,1017.26513671875
54197,1017.2793579101562
54237,1017.2409057617188
54319,1017.2725830078125
54397,1017.2823486328125
54438,1017.2738647460938
54517,1017.2642822265625
54596,1017.2592163085938
54637,1017.2842407226562
54717,1017.2730102539062
54798,1017.2698364257812
54837,1017.2659912109375
54916,1017.2747192382812
54996,1017.2364501953125
55038,1017.2904052734375
55117,1017.27490234375
55197,1017.2477416992188
55237,1017.2694091796875
55317,1017.2706909179688
55397,1017.2523803710938
55436,1017.2576904296875
55517,1017.2708740234375
55597,1017.261962890625
55636,1017.2477416992188
55717,1017.2598266601562
55797,1017.2606811523438
55837,1017.2625732421875
55917,1017.2417602539062
55997,1017.2793579101562
56037,1017.24560546875
56118,1017.2575073242188
56197,1017.255126953125
56236,1017.234130859375
56317,1017.2466430664062
56398,1017.2638549804688
56437,1017.2313232421875
56517,1017.2164916992188
56597,1017.235595703125
56636,1017.2468872070312
56717,1017.2285766601562
56798,1017.2383422851562
56837,1017.2330322265625
56919,1017.2421875
57000,1017.2347412109375
57036,1017.2598266601562
57117,1017.2640991210938
57197,1017.2492065429688
57236,1017.2426147460938
57317,1017.2489624023438
